probe_id;address_v4;address_v6;cc;asn_v4;asn_v6
475;62.251.26.9;2001:985:8727:1:220:4aff:fec6:cd6f;NL;3265;3265
507;193.107.127.202;2001:67c:2200:3801:220:4aff:febf:fb33;FR;50620;50620
518;212.85.144.248;2a02:2178:1:1:220:4aff:febf:fba0;FR;29075;29075
523;91.224.149.149;2a03:7220:8081:9500::1;FR;197422;197422
526;212.51.129.159;2a02:168:780f:2:220:4aff:febf:fbbd;CH;13030;13030
532;78.246.170.57;2a01:e34:ef6a:a390:220:4aff:febf:fbd3;FR;12322;12322
539;81.186.241.8;2001:7a0:1:4:220:4aff:febf:fbef;SE;15782;15782
555;194.95.241.3;2001:638:206:4:220:4aff:febf:ff40;DE;680;680
558;193.110.180.194;2001:67c:2738:242:220:4aff:febf:ff56;GB;12628;12628
580;95.128.95.14;2a02:928:11:14:220:4aff:febf:ff69;NL;34108;34108
591;76.226.67.40;2600:1700:5430:7000:220:4aff:febf:ff63;US;7018;7018
599;37.60.157.131;2a0b:3201:0:800:220:4aff:febf:ff6a;FR;201080;201080
600;31.31.161.66;2a02:4b00:1:99:220:4aff:febf:ff80;SE;50168;50168
608;78.107.233.42;2001:470:7889:1:220:4aff:febf:ff84;RU;8402;6939
611;212.46.64.34;2a01:5f80:0:1:220:4aff:febf:ff72;IT;47408;47408
628;79.132.99.22;2a00:1138:0:2:220:4aff:febf:ffa1;RU;43782;43782
629;193.107.127.234;2001:67c:2200:3401:220:4aff:febf:ff88;FR;50620;50620
631;130.37.15.57;2001:982:5830:20:220:4aff:febf:ff8a;NL;1103;3265
632;217.126.185.215;2001:470:1f09:495:220:4aff:febf:ffaf;ES;3352;6939
666;193.0.21.183;2001:67c:2e8:110:220:4aff:fec5:5887;DE;3333;3333
689;101.184.15.249;2001:8003:2923:1101:220:4aff:fec5:5892;AU;1221;1221
706;93.216.166.179;2003:d3:71e:d00:220:4aff:fec5:5b22;DE;3320;3320
713;212.66.97.161;2001:40d0:ff:ffff::1;IT;20912;20912
731;77.74.0.147;2a02:cd8:2ee3:e400::a;CH;42760;42760
750;213.178.88.172;2a00:12d0:0:12d:220:4aff:fec6:ca68;DE;13101;13101
